pedestrians,towards_manhattan,towards_brooklyn,date,weather,events
1225,577,648,2019-10-02,clear-day,nan
449,199,250,2019-10-21,clear-day,nan
33,0,33,2019-10-10,cloudy,nan
172,109,63,2019-12-17,rain,nan
788,387,401,2019-02-20,cloudy,nan
66,40,26,2019-06-16,rain,Father's Day
2286,1060,1226,2019-11-25,partly-cloudy-day,nan
1900,818,1082,2019-09-10,cloudy,nan
1020,611,409,2019-07-16,clear-day,nan
142,126,16,2019-01-22,clear-night,nan
61,29,32,2019-06-18,cloudy,nan
2015,856,1159,2019-11-25,clear-day,nan
24,16,8,2019-02-18,rain,Presidents' Day (regional holiday)
0,0,0,2019-04-07,clear-night,nan
1702,814,888,2019-04-15,partly-cloudy-day,Tax Day
16,10,6,2019-01-25,partly-cloudy-night,nan
25,23,2,2019-05-05,cloudy,Cinco de Mayo
60,55,5,2019-02-01,partly-cloudy-night,nan
447,175,272,2019-07-02,clear-day,nan
0,0,0,2019-10-02,clear-night,nan
1588,647,941,2019-11-08,partly-cloudy-day,nan
3,2,1,2019-05-09,partly-cloudy-night,nan
397,154,243,2019-11-26,clear-day,nan
0,0,0,2019-12-19,clear-night,nan
0,0,0,2019-03-22,rain,nan
2,1,1,2019-02-11,partly-cloudy-night,nan
0,0,0,2019-04-03,cloudy,nan
818,373,445,2019-11-13,clear-day,nan
1215,545,670,2019-12-05,cloudy,nan
0,0,0,2019-03-30,cloudy,nan
5,2,3,2019-11-27,cloudy,Thanksgiving Day
927,568,359,2019-09-15,partly-cloudy-day,nan
2386,1111,1275,2019-05-03,cloudy,nan
1712,729,983,2019-11-27,cloudy,nan
1318,594,724,2019-03-08,clear-day,nan
38,19,19,2019-08-03,partly-cloudy-night,nan
1200,511,689,2019-02-28,clear-day,nan
34,25,9,2019-01-05,cloudy,nan
1461,654,807,2019-03-29,cloudy,nan
2110,1069,1041,2019-08-06,partly-cloudy-day,nan
2,1,1,2019-10-23,cloudy,nan
297,120,177,2019-10-17,cloudy,nan
63,47,16,2019-05-19,partly-cloudy-night,nan
1,0,1,2019-12-02,cloudy,nan
395,194,201,2019-08-04,partly-cloudy-day,nan
0,0,0,2019-06-26,clear-night,nan
2180,959,1221,2019-11-03,partly-cloudy-day,Daylight Saving Time ends
49,29,20,2019-10-16,partly-cloudy-night,nan
0,0,0,2019-11-10,partly-cloudy-night,nan
2354,1133,1221,2019-07-07,partly-cloudy-day,nan
558,306,252,2019-12-30,rain,nan
556,313,243,2019-12-18,clear-day,nan
3001,1416,1585,2019-10-26,partly-cloudy-day,nan
1644,777,867,2019-11-05,clear-day,nan
2913,1336,1577,2019-08-31,partly-cloudy-day,nan
1884,982,902,2019-06-30,partly-cloudy-day,nan
162,82,80,2019-08-27,partly-cloudy-night,nan
519,249,270,2019-01-29,cloudy,nan
177,89,88,2019-01-31,clear-day,nan
723,298,425,2019-06-19,cloudy,nan
82,35,47,2019-02-23,partly-cloudy-night,nan
970,487,483,2019-03-20,clear-day,nan
0,0,0,2019-01-10,partly-cloudy-night,nan
0,0,0,2019-01-12,partly-cloudy-day,nan
0,0,0,2019-10-14,cloudy,Columbus Day (regional holiday)
17,0,17,2019-04-03,clear-night,nan
34,13,21,2019-04-20,rain,nan
